Account,Flag,Cleared,Check Number,Date,Payee,Category,Master Category,Sub Category,Memo,Outflow,Inflow,Running Balance
"Avidia Checking",,U,,07/29/2013,"MFA","Recreation : Hers","Recreation","Hers","",$43.00,$0.00,$6762.53
"Avidia Checking",,U,,07/29/2013,"Marlboro","Housing : Real Estate Tax","Hidden Categories","Housing ` Real Estate Tax","",$1241.53,$0.00,$5521.00
"Avidia Checking",,U,,07/30/2013,"Fastlane","Transportation : tolls","Transportation","tolls","",$10.40,$0.00,$5510.60
"Avidia Checking",,U,,07/31/2013,"softright","Income : Available next month","Income","Available next month","",$0.00,$3267.66,$8778.26
"Avidia Checking",,U,,08/01/2013,"Pumpkin Brook","Income : Available next month","Income","Available next month","",$0.00,$360.71,$9138.97
"Avidia Checking",,U,,08/01/2013,"Save the children","Charity : Other","Charity","Other","",$28.00,$0.00,$9110.97
"Avidia Checking",,U,,08/01/2013,"verizon wireless","Housing : Cell Phones","Hidden Categories","Housing ` Cell Phones","",$93.77,$0.00,$9017.20
"Avidia Checking",,U,,08/05/2013,"mcqaudes Market","Food : Groceries","Food","Groceries","",$33.15,$0.00,$8984.05
"Avidia Checking",,U,,08/05/2013,"verizon fios","Housing : Phone & Internet","Hidden Categories","Housing ` Phone & Internet","",$184.43,$0.00,$8799.62
"Avidia Checking",,U,,08/05/2013,"Transfer : Discover",,,,"",$2137.62,$0.00,$6662.00
"Avidia Checking",,U,,08/08/2013,"interest","Income : Available this month","Income","Available this month","",$0.00,$0.36,$6662.36
"Avidia Checking",,U,,08/08/2013,"Kelsey Herring","Recreation : Alyssa Horse","Recreation","Alyssa Horse","Riding boots",$100.00,$0.00,$6562.36
"Avidia Checking",,U,,08/09/2013,"Transfer : avidia - Lisa Business",,,,"",$0.00,$1500.00,$8062.36
"Avidia Checking",,U,,08/09/2013,"Rachel Miller","Recreation : Alyssa Horse","Recreation","Alyssa Horse","",$110.00,$0.00,$7952.36
"Avidia Checking",,U,,08/12/2013,"Sudbury Valley trustees","Charity : Other","Charity","Other","",$50.00,$0.00,$7902.36
"Avidia Checking",,U,,08/12/2013,"Transfer : Robert Cash Account",,,,"",$100.00,$0.00,$7802.36
"Avidia Checking",,U,,08/12/2013,"Block Island Hotel","Recreation : Vacation","Recreation","Vacation","Room on block island we ended up cancelling",$101.14,$0.00,$7701.22
